class,problem,code,answer
1,현규는 하루에 물을 10L 사용합니다. 수압밸브를 약하게 조정하면 평소 사용량의 0.3배 정도를 알 수 있다면 수압밸브를 약하게 조정했을 때 현규가 하루에 걸친 물은 몇 L입니까?,"a = 10
b = 0.3
y = a * b
print(y)",3
1,어느 숫자에 3을 곱하여 15가 되면 얼마나 많은 수가 있습니까?,"a = 15
b = 3
y = a / b
print(y)",5
8,네면의 총 길이가 40m인 정사각형이 있습니다. 이 안에 그릴 수 있는 최대 원의 넓이는 몇 cm²인지를 추구합니다. (원주율:3.14),"a = 40
b = 4
c = a / b
d = 3.14
y = (c / 2) ** 2 * d
print(y)",78.50
8,네 변의 길이의 합이 88cm인 정사각형의 한 변의 길이는 몇 cm입니까?,"a = 88
y = a / 4
print(y)",22
5,"수진은 빵을 똑같이 5개로 나누고 그중 1개를 먹었다. 미애가 같은 크기의 빵을 20개로 나누었습니다. 정희와 같은 양을 먹으려면, 미애는 몇 개 먹어야 하는지를 찾아보세요.","a = 5
b = 1
c = 20
y = b * c / a
print(y)",4
4,"16. 20. 35, 17 중에서 가장 많은 수의 숫자가 몇 개 있는지 찾습니다.","a = [16, 20, 35, 17]
b = []
y = 0
for i in a:
    c = 0
    for t in range(1, i + 1):
        if i % t == 0:
            c += 1
    b.append(c)
y = max(b)
print(y)",6
6,어떤 숫자에 5를 곱해야 하는지를 잘못 9로 나눈 곳이 3이 되었습니다. 올바르게 계산해보십시오.,"a = 5
b = 9
c = 3
y = (c * b) * a
print(y)",135
8,원 A의 직경은 20cm입니다. 원 B의 직경은 원 A의 반경과 동일하다. 원 A의 반경과 원 B의 반경의 차이는 몇 센티미터입니까?,"a = 20
b = a / 2
y = a / 2 - b / 2
print(y)",5
4,"53, 19, 43, 6 중 최대 수와 최소 수의 곱을 구한 값을 구합니다.","a = [53, 19, 43, 6]
b = max(a)
c = min(a)
y = b * c
print(y)",318
5,Minune의 가족은 사과했다. 동생은 4.3kg을 제외하고 언니는 동생보다 6.2kg 더 땀을 흘렸다. 민우는 언니가 캔사츠마이모의 무게의 0.2보다 3310그램을 많이 먹었다면 민우는 캔 고구마는 몇 kg입니까?,"a = 4.3
b = 6.2
c = a + b
d = 0.2
e = 3.31
y = e + c * d
print(y)",5.41
1,금사 돈의 무게는 22.5g입니다. 금 돈의 무게는 무언가를 요구합니다.,"a = 4
b = 22.5
y = b / a
print(y)",5.62
1,"1분에 20km의 기차와 10분에 5km의 버스가 있습니다. 각각 같은 속도로 50분간 가면, 기차는 버스보다 몇 킬로미터 갈 수 있습니까?","a = 1
b = 20
c = 10
d = 5
e = 50
y = (e / a * b) - (e / c * d)
print(y)",975.0
5,어떤 숫자에 30을 더한 후 5로 나누고 3을 뺀 값에 2를 곱한 값이 12이면 어떤 숫자는 얼마입니까?,"a = 30
b = 5
c = 3
d = 2
e = 12
y = (e / d + c) * b - a
print(y)",15
1,민규는 운동장에서 주위 1.57m의 굴곡을 11회전시켰다. 민규가 굴곡을 움직인 거리는 몇 m입니까?,"a = 1.57
b = 11
y = a * b
print(y)",17.27
4,"22, 74, 20이 있습니다. 이 중 최대 수와 최소 수를 뺀 것은 무엇입니까?","a = [68, 92, 15]
y = max(a) - min(a)
print(y)",77
1,학생들은 운동장에서 일렬로 7명씩 26행으로 서 있습니다. 늘어선 학생들은 모두 몇 명입니까?,"a = 26
b = 7
y = a * b
print(y)",182
5,36을 여러 번 나누고 9로 나누어 떨어졌습니다. 얼마나 많은 수를 찾는다.,"a = 36
b = 9
y = a / b
print(y)",4
1,지우개는 1개의 상자에 45개씩 8개의 상자가 있습니다. 지우개는 총 수 있습니까?,"a = 45
b = 8
y = a * b
print(y)",360
1,올해 지민의 나이는 8세이고 형의 나이는 14세입니다. 지민이 20살이라면 오빠는 몇살인가?,"a = 8
b = 14
c = 20
y = b - a + c
print(y)",26
7,"명숙한 학교의 여학생은 451명, 남학생은 400명이 있는 경우, 명숙한 학교에는 남학생과 여학생 중 어느 것이 더 있는지를 묻는다.","a = 451
b = 400
dicts = {""여학생"": a, ""남학생"": b}
y = max(dicts, key=dicts.get)
print(y)",여학생
6,어떤 숫자에 23을 곱해야 하지만 실수로 40을 빼면 72가 되었습니다. 올바르게 계산해보십시오.,"a = 23
b = 40
c = 72
y = (c + b) * a 
print(y)",2576
1,과자가 1봉에 25개씩 들어가 있습니다. 62봉지에 들어 있는 과자는 모두 며칠 계산해 보세요.,"a = 25
b = 62
y = a * b
print(y)",1550
8,"직사각형의 넓이가 20km², 세로가 4km라고 합니다. 이 직사각형의 옆은 몇 미터입니까?","a = 20
b = 4
y = a / b * 1000
print(y)",5000
5,100~200~300~400과 같은 규칙으로 500~5회 점프하여 숫자를 구합니다.,"a = 200
b = 100
c = a - b
d = 500
y = d + c * 5
print(y)",1000
1,농구 공 18개를 수납 상자 3개에 똑같이 나누어 넣으려고 합니다. 수납 박스 1개에 농구 공을 몇개씩 수납할 수 있습니까?,"a = 18
b = 3
y = int(a / b)
print(y)",6
4,"각도 80°, 70°, 65°가 있습니다. 이 중 최대 각도와 최소 각도의 차이를 구하십시오.","a = [80, 70, 65]
y = max(a) - min(a)
print(y)",15
2,"진희, 희정, 윤빈, 정현이 차례로 늘어서 있다. 네 번째로 서 있는 사람은 누구입니까?","a = ['진희', '희정', '윤빈', '정현']
b = 4
y = a[b - 1]
print(y)",정현
1,"붉은 끈의 길이는 6.5m, 녹색 끈의 길이는 3.4m입니다. 빨간색 끈의 길이는 녹색 끈의 길이의 몇 배를 구하고 반올림하여 소수의 두 자리까지 표시합니다.","a = 6.5
b = 3.4
y = a / b
print(""{:.2f}"".format(y))",1.91
8,폭이 32.68 센티미터인 원 반경 길이가 5배가 되면 주변은 몇 센티미터입니까?,"import math

a = 32.68
b = 5
c = math.pi
y = (((a ** 0.5) / c) * b * c * 2) 
print(y)",57.17
1,승준은 우유를 매일 0.7L 마신다. 승준이 5일간 마시는 우유를 준비하려면 최소 1L의 우유를 구입해야 하나요?,"from math import ceil

a = 0.7
b = 5
c = 1
y = ceil(a * b / c)
print(y)",4
8,한 변의 길이가 84/8cm인 정사각형이 있습니다. 이 사각형의 주위는 몇 cm이어야합니다.,"a = 84/8
b = 4
y = a * b
print(y)",42
1,"학교 체육관에 남학생이 25명, 여학생이 21명 있었지만, 이 중 13명이 교실에 들어갔습니다. 체육관에 남아있는 학생은 몇 명입니까?","a = 25
b = 21
c = 13
y = a + b - c
print(y)",33
1,"차 1대를 주차하는데 1/2시간으로 4500원이 됩니다. 차 4대를 2시간 주차하고 주차요금을 8명이 똑같이 나누어 베팅하기로 한 경우, 1명이 지불해야 하는 금액은 얼마입니까?","a = 1/2
b = 4500
c = 4
d = 2
e = 8
y = b / a * c * d / e
print(y)",9000
6,어떤 숫자를 3으로 나누어야 하는지 잘못 4를 빼면 23이 되었습니다. 제대로 계산하면 얼마입니까?,"a = 3
b = 4
c = 23
y = (c + b) / a 
print(y)",9
8,너비가 50cm 평방인 마름모꼴의 한 대각선이 10cm일 때 다른 대각선은 몇 cm입니까?,"a = 50
b = 10
y = a * 2 / b
print(y)",10
4,"4.24, 2.36, 4.8 중 최대 수와 최소 수의 합은 얼마입니까?","a = [4.24, 2.36, 4.8]
b = max(a)
c = min(a)
y = b + c
print(y)",7.16
1,학교에서 세훈이네 집까지의 거리는 학교에서 승호네 집까지의 거리의 3배라고 합니다. 학교에서 세훈이네 집까지의 거리가 9.3km이면 학교에서 승호네 집까지의 거리는 몇 km입니까?,"a = 9.3
b = 3
y = a / b
print(y)",3.10
8,원 안에 마름모꼴의 폭이 90cm²일 때 원의 반경은 몇 cm입니까?,"a = 90
y = (a * 2) ** (1 / 2) / 2
print(y)",6.708203932499369
1,"사과 250개를 1상자에 10개씩 넣어 팔려고 한다면, 어떤 상자를 팔 수 있을까를 요구해 주세요.","a = 250
b = 10
y = a // b
print(y)",25
8,직사각형의 가로 길이가 30cm이고 세로 길이가 20cm이면 이 직사각형의 넓이는 몇 cm²입니까?,"a = 30
b = 20
y = a * b
print(y)",600
8,원형 테이블이 있습니다. 테이블의 직경이 30cm라면 테이블의 넓이는 몇 cm^2입니까? 원주율은 3.14로 계산됩니다.,"a = 30
b = 3.14
c = 2
y = (a / c) * (a / c) * b    
print(y)",706.50
1,746 - 246을 계산해보십시오.,"a = 746
b = 246
y = a - b
print(y)",500
1,블록을 쌓아서 성을 세우려고 합니다. 1층을 만들려면 20개의 블록이 필요합니다. 3층짜리 성을 만들려면 몇 개의 블록이 필요합니까?,"a = 20
b = 3
y = a * b
print(y)",60
1,윤성이는 사탕을 1봉지에 10개씩 16봉투 넣어 4명에게 똑같이 나누었다. 한 사람이 될 사탕은 몇 명입니까?,"a = 10
b = 16
c = 4
y = a * b // c
print(y)",40
8,"하단 10센티미터, 상변 2센티미터, 높이 5센티미터의 사다리꼴이 있습니다. 사다리꼴의 크기를 찾습니다.","a = 10
b = 2
c = 5
y = (a + b) * c / 2
print(y)",30
8,네면 길이의 합이 88cm이고 직사각형 옆이 32cm이면 세로는 몇 cm입니까?,"a = 88
b = 32
y = (a - b * 2) / 2
print(y)",12
1,두은은 460원 색연필 2봉과 610원 포스트잇 3병을 사서 3000원을 냈다. 두운이 받는 돈은 얼마인지 답을 구하십시오.,"a = 460
b = 2
c =610
d = 3
e = 3000
y = e - (a * b + c * d)
print(y)",250
8,"옆의 길이가 21cm, 세로의 길이가 15cm의 직사각형이 있습니다. 이 직사각형의 폭은 몇 cm²입니까?","a = 21
b = 15
y = a * b
print(y)",315
8,55cm 길이의 원사를 사용하여 최대 정수 cm의 정사각형 모양을 만들면 남은 실의 길이는 몇 cm입니까?,"a = 55
b = 4
c = a // b
y = a - (b * c)
print(y)",3
1,수현제제과점에서 오늘 크림빵을 500개 만들었습니다. 이 크림빵을 25개까지 수납할 수 있는 박스에 모두 넣을 때에 필요한 박스는 적어도 몇개일까?,"import math
a = 500
b = 25
y = math.ceil(a / b)
print(y)",20
3,1에서 9까지의 숫자 중 다음 수식 10*A>88을 만족하는 숫자는 모두 몇 개입니까?,"a = 1
b = 9
c = 88
d = 10
y = 0
for i in range(a, b + 1):
    if i > c / d:
        y += 1
print(y)",1
8,모든 모서리의 길이가 같은 사각뿔이 있습니다. 모퉁이 길이의 합이 60m일 때 한 모퉁이의 길이는 몇 m입니까?,"a = 60
b = 4
y = a / (b * 2)
print(y)",7.50
8,"가로가 12cm, 세로가 7cm인 사각형의 네면 길이의 합은 몇 cm입니까?","a = 12
b = 7
y = (a + b) * 2
print(y)",38
6,"어떤 숫자를 7로 나누어야 하는지를 잘못해서, 어느 숫자에 3을 곱한 곳 46.5가 되었습니다. 제대로 계산한 몫은 어느 정도를 요구해 보세요.","a = 7
b = 3
c = 46.5
y = c / b / a
print(y)",2.21
1,이사 체육관 9.7t를 이사 차에 모두 태우려고 합니다. 차 1대에 2t씩 쌓을 수 있다면 적어도 몇 대의 이사차를 부를까요?,"from math import ceil
a = 9.7
b = 2
y = ceil(a / b)
print(y)",5
1,어떤 숫자를 8로 나누고 12가 되면 어떤 숫자는 얼마입니까?,"a = 8
b = 12
y = a * b
print(y)",96
1,"구슬이 24개 있습니다. 이 구술을 4명이 똑같이 나누어 가지고 있으면, 1명에 대해 몇개를 가지게 되는 것일까요.","a = 24
b = 4
y = a // b
print(y)",6
8,한 변의 길이가 60센티미터인 정사각형과 원주가 같은 정육각형의 한변의 길이는 몇 센티미터입니까?,"a = 60
b = 4
c = 6
y = a * b / c
print(y)",40
1,지하철에 20명이 타고 있었습니다. 다음 역에 도착하여 11명이 내리고 3명이 타고 지금 지하철을 타고 있는 사람은 몇명의 대답을 요구해 주세요.,"a = 20
b = 11
c = 3
y = a - b + c
print(y)",12
8,"가로가 45cm, 세로가 50cm인 직사각형 종이를 같은 크기의 정사각형 형태로 남기지 않고 자르려고 합니다. 잘라낼 수 있는 가장 큰 사각형으로 자를 때 종이는 모두 몇 장 만들 수 있습니까?","import math

a = 45
b = 50
c = math.gcd(a, b)
y = (a // c) * (b // c)
print(y)",90
1,"색 테이프를 10명이 똑같이 3.3미터씩 남기지 않고 나누어 가지고 있었다면, 처음에 있던 색 테이프는 몇 미터일까요?","a = 10
b = 3.3
y = a * b
print(y)",33
1,주전자의 물을 2리터 200밀리리터 마셔 보니 5리터 100밀리리터가 남았습니다. 처음 주전자에 들어간 물은 몇 밀리리터입니까?,"a = 2 * 1000 + 200
b = 5 * 1000 + 100
y = b + a
print(y)",7300
1,물에 미스카울 25g을 녹여 미스카울티 350g을 만들었습니다.,"a = 25
b = 350 
y = a / b
print(y)",0.07
8,"장변 22cm, 짧은 변 12cm의 직사각형 주위는 몇 센티미터입니까?","a = 22
b = 12
y = a * 2 + b * 2
print(y)",68
8,"가로가 16cm, 세로가 18cm인 직사각형을 한번 잘라서 최대의 정사각형을 만들었습니다. 사각형을 만들고 남은 사각형의 네면 길이의 합은 몇 cm입니까?","a = 18
b = 16
c = abs(a - b)
y = (b + c) * 2
print(y)",36
1,경수는 10000원 지폐를 8장 가지고 있습니다. 경수가 가지고 있는 돈은 얼마입니까?,"a = 10000
b = 8
y = a * b
print(y)",80000
8,"성진은 철사가 100cm 있습니다. 이 와이어를 사용하여 긴 변이 15cm, 짧은 변이 7cm의 평행 사변형을 2 개 겹치지 않고 만들었습니다. 만들어 남은 와이어는 몇 cm입니까?","a = 100
b = 15
c = 7
d = 2
y = a - (b + c) * 2 * d
print(y)",12
3,"4장의 숫자 카드 3, 1, 5, 9가 있습니다. 이것을 한 번만 사용하여 두 개의 두 자리 숫자를 만들었습니다. 두 숫자를 곱할 때 최소 곱을 계산합니다.","from itertools import permutations

a = ['3', '1', '5', '9']
b = list(map(''.join, permutations(a)))
c = []
for i in b:
    d = int(i[:2])
    e = int(i[2:])
    c.append(d * e)
y = min(c)
print(y)",585
1,물 2.3L를 병 5개에 똑같이 나누어 넣으려고 합니다. 한 병에 넣을 수 있는 물은 몇 L입니까?,"a = 2.3
b = 5
y = a / b
print(y)",0.46
7,"민지, 호정, 진수는 감자밭에서 감자를 잡았다. 다른 감자 전체의 9분의 2는 민지가 제거되었고, 호의적인 민지가 다른 양의 3배를 차지하고, 나머지는 진수를 취했다. 감자를 가장 많이 사는 사람은 누구입니까?","a = 2 / 9
b = a * 3
c = 1 - (a + b)
dicts = {'민지': a, '호정': b, '진수': c}
y = max(dicts, key=dicts.get)
print(y)",호정
1,종국의 엄마는 정육점에서 쇠고기 3.5kg을 샀다. 이 중 0.38kg을 사용하면 나머지 쇠고기는 몇 kg입니까?,"a = 3.5
b = 0.38
y = a - b
print(y)",3.12
1,"해진은 100원 동전 13개, 10원 동전 5개를 가지고 있습니다. 혜진이 가지고 있는 돈으로 2000원이 되려면 얼마나 걸립니까?","a = 100 * 13
b = 10 * 5
c = 2000
y = c - a - b
print(y)",650
1,물 400L를 20L가 양동이로 가득 차면 버킷은 몇 개 필요합니까?,"from math import ceil

a = 400
b = 20
y = ceil(a / b)
print(y)",20
7,"부채가 1555개, 전기 모기의 향기가 1222개, 모기장이 1666개인 경우, 부채, 전기 모기, 모기장 중에서 가장 많은 것은 무엇입니까?","a = 1555
b = 1222
c = 1666
dicts = {'부채': a, '전기 모기향': b, '모기장': c}
y = max(dicts, key=dicts.get)
print(y)",모기장
5,2리터의 수조에 물이 가득 들어 있습니다. 세훈이가 컵으로 가득 3회 제거했기 때문에 물은 0.8리터 남았다. 컵의 입장은 몇 리터 또는 소수로 나타냅니다.,"a = 2
b = 3
c = 0.8
y = (a - c) / b
print(y)",0.40
3,"숫자 카드 2, 4, 6, 5, 7을 한 번 사용하여 다섯 자리 숫자를 만들려고합니다. 최대 수를 얻으십시오.","from itertools import permutations

a = ['2', '4', '6', '5', '7']
y = int(max(map(''.join, permutations(a, 5))))
print(y)",76542
8,"주위가 34cm, 세로가 7cm의 직사각형 일기의 수평 방향은 몇 cm입니까?","a = 34
b = 7
c = 4
y = (a - b * 2) / 2
print(y)",10
2,"현정이는 오늘날 국어, 수학, 과학, 사회, 영어 순서로 공부하려고 합니다. 세 번째로 공부할 과목의 이름을 적는다.","a = ['국어', '수학', '과학', '사회', '영어']
b = 3
y = a[b - 1]
print(y)",과학
1,"바구니 안에 공이 100개 있습니다. 그 중 야구공은 68개, 농구공은 32개입니다. 총 볼 수에 대한 농구 볼 수의 비율은 몇 %입니까?","a = 100
b = 68
c = 32
y = c / a * 100
print(y)",32
8,"가로가 15cm, 세로가 5cm인 직육면체의 모든 모퉁이의 길이의 합계가 150cm이면, 직육면체의 높이는 어느 정도입니까?","a = 15
b = 5
c = 150
y = (c - (a + b) * 4) / 4
print(y)",17.5
1,"귤 45개를 바구니 5개에 똑같이 나누어 넣었습니다. 바구니 1개에 들어 있는 귤을 3명으로 똑같이 나누어 먹으려면, 1명에 대해 몇개의 감귤을 먹을 수 있습니까?","a = 45
b = 5
c = 3
y = a // b // c
print(y)",3
8,직경 18센티미터의 원 안에 반경 2센티미터의 원을 겹치지 않도록 몇 개까지 그릴 수 있습니까?,"a = 18
b = 2
c = 2 * b
y = int(a / c)
print(y)",4
3,"숫자 카드 9, 5, 1, 2, 3 중에서 카드를 모두 한 번씩 사용하여 만들 수 있는 4자리 숫자 중 가장 작은 숫자는 얼마입니까?","from itertools import permutations

a = ['9', '5', '1', '2', '3']
y = int(min(map(''.join, permutations(a, 4))))
print(y)",1235
8,저변의 길이가 6cm이고 폭이 42cm²인 평행사변형의 높이는 몇 cm입니까?,"a = 6
b = 42
y = b / a
print(y)",7
1,서준이 매일 1.2리터의 우유를 마신다면 소준이 10일간 마시는 우유를 준비할 때 적어도 1리터의 우유를 사야 합니까?,"import math

a = 1.2
b = 10
c = 1
y = ceil(a * b / c)
print(y)",12
1,"초콜릿이 20개씩 4상자 있습니다. 이 바둑돌을 8명의 학생에게 똑같이 나누려고 한다면, 한 사람에게 몇개씩 나눌 수가 있는지를 찾아 보세요.","a = 20
b = 4
c = 8
y = a * b // c
print(y)",10
6,어떤 숫자에서 72를 빼야 하지만 실수로 50을 뺀 결과가 88이 되면 제대로 계산하면 답이 얼마나 되나요?,"a = 72
b = 50
c = 88
y = (c + b) - a
print(y)",66
7,"미지는 매일 200원씩 5일간 저축했고, 다혜는 미지가 저금한 돈의 4배보다 1500원 많이 모았다. 수정은 매일 400원씩 20일 동안 저축했다. 누가 가장 돈을 모았습니까?","a = 200
b = 5
c = 4
d = 1500
e = 400
f = 20
dicts = {'미지': a * b, '다혜': (a * b) * c + d, '수정': e * f}
y = max(dicts, key=dicts.get)
print(y)",수정
8,삼변 길이의 합이 57cm인 정삼각형의 한 변 길이는 몇 센티미터입니까?,"a = 57
b = 3
y = a / b
print(y)",19
3,"번호 카드 5, 1, 8, 9가 있습니다. 이 중, 3장을 당겨 2자리와 1자리씩을 만들 때, 곱이 최대인 경우의 값을 구합니다.","from itertools import permutations

a = ['5', '1', '8', '9']
b = list(map(''.join, permutations(a, 3)))
c = []
for i in b:
    d = int(i[:-1])
    e = int(i[-1])
    c.append(d * e)
y = max(c)
print(y)",765
8,반경 4cm의 원의 직경은 몇 cm입니까?,"a = 4
b = 2
y = a * b
print(y)",8
1,정민은 과자를 8개 먹고 정윤은 철민이 먹은 과자의 7배를 먹었다. 정윤이 먹은 과자는 모두 몇몇 개인의 대답을 구하십시오.,"a = 8
b = 7
y = a * b
print(y)",56
7,10분에 14km의 A차와 15분에 15km의 B차가 있습니다. 두 차가 동시에 출발하여 120분 동안 쉬지 않고 같은 속도로 움직였다. A차와 B차 중 어느 것이 더 멀리 이동했습니까?,"a = 10
b = 14
c = 15
d = 15
e = 120
f = e / a * b
g = e / c * d
dicts = {'A': f, 'B': g}
y = max(dicts, key=dicts.get)
print(y)",A
1,총타수에 대한 히트수의 비율을 타율이라고 합니다. 한 야구 선수는 210타수 중 히트가 16개였다고 합니다. 이 야구 선수의 타율을 백분율로 표시합니다.,"a = 210
b = 16
y = b / a * 100
print(y)",7.6190476190476195
8,"상단 5센티미터, 하변 12센티미터, 높이 6센티미터의 사다리꼴이 있습니다. 이 사다리꼴의 넓이를 구하십시오.","a = 5
b = 12
c = 6
y = (a + b) * c / 2
print(y)",51
7,"나운의 신장은 155센티미터이고, 가운의 신장은 154.3센티미터라면 누구의 키가 큰가?","a = 155
b = 154.3
dicts = {""나은"": a, ""가은"": b}
y = max(dicts, key=dicts.get)
print(y)",나은
1,"한 식료품점에서는 20개에 25000원의 석류를 사서 1상자에 8개씩 담아 15000원에 팔았습니다. 식료품점에서 석류를 팔아서 얻은 수입이 52000원이라면, 플레이트 석류는 모두 몇 상자입니까?","from math import ceil

a = 20
b = 25000
c = 8
d = 15000
e = 52000
y = ceil((e / ((d / c) - (b / a))) / c)
print(y)",11
1,진호가 매일 5.3km씩 산책을 한다면 진호가 14일간 산책한 거리는 모두 몇km입니까?,"a = 5.3
b = 14
y = a * b
print(y)",74.20
7,"한 가게에서 초콜릿은 5개에 3000원으로, 캐러멜은 4개에 2800원이라고 합니다. 초콜릿과 캐러멜 중 하나의 값은 어느 것이 비쌉니까?","a = 5
b = 3000
c = 4
d = 3200
dicts = {'초콜릿': b / a, '카라멜': d / c}
y = max(dicts, key=dicts.get) 
print(y)",카라멜
7,재영이네 집 세탁기는 세탁과 헹굼 과정을 한꺼번에 이용하기 위해 91L의 물이 사용된다고 합니다. 헹굼 과정에서 사용된 물의 양이 52L 950mL일 때 세탁과 헹굼 사이에 더 많은 물을 사용한 과정은 무엇일까요?,"a = 91 * 1000
b = 52 * 1000 + 950
y = a - b
dicts = {'세탁': a - b, '헹굼': b}
y = max(dicts, key=dicts.get)
print(y)",헹굼
1,"히섭과 동생은 14일간 종이학을 접었다. 종이를 기쁘게 하는 하루에 5개씩 접었고, 동생은 3개씩 접었습니다. 두 사람이 꺾은 종이학을 6명으로 똑같이 나누기 위해서는 한 사람에게 몇 개씩 나눌 수 있습니까?","a = 14
b = 5
c = 3
d = 6
y = (b + c) * a // d
print(y)",18
8,"가로 길이가 13cm, 세로 길이가 15cm인 직사각형이 있습니다. 이 직사각형의 폭은 몇 센티미터²입니까?","a = 13
b = 15
y = a * b
print(y)",195
1,"탁구공 9999개를 1박스에 3000개씩 포장하는 경우, 포장된 탁구공은 모두 몇개입니까?","a = 9999
b = 3000
y = a // b * b
print(y)",9000
1,"초콜릿이 20개, 사탕이 16개 있습니다. 초콜릿과 사탕을 합쳐서 1봉지에 6개씩 넣기 위해서는 봉투가 몇개 필요합니까?","a = 20
b = 16
c = 6
y = (a + b) // c
print(y)",6
1,"허상이는 자전거를 타고 200km 달렸다. 첫날에는 1/5을 달렸고, 둘째 날에는 나머지 거리의 1/2을 달렸다. 그러면 둘째 날에 호수가 달린 거리는 몇 km입니까?","a = 200
b = 1/5
c = 1/2
y = (a * (1 - b)) * c
print(y)",80.0
8,둘레가 46.5cm인 원의 직경은 몇 cm입니까? 원주율은 3.1로 계산됩니다.,"a = 46.5
b = 3.1
y = a / b
print(y)",15
4,"송은은 송중의 집에 가기로 했다. 집 근처에 도착하자 212동, 211동, 207동의 아파트가 보였다. 성준이 이 중 가장 큰 수인 동에 살고 있다면 성준이 살아가는 동은 몇동일까요?","a = [212, 211, 207]
y = max(a)
print(y)",212
1,민슬리가 100미터를 달리는 데 25초가 걸리면 민슬리가 100미터를 달리는 데 걸리는 시간에 대한 주행 거리의 비율을 구하십시오.,"a = 100
b = 25
y = a / b
print(y)",4
8,"가로가 6.2cm, 세로가 5.3cm의 직사각형과 가로가 4.2cm, 높이가 5.8cm인 평행사변형이 있다. 두 도형의 너비의 합을 구합니다.","a = 6.2 * 5.3
b = 4.2 * 5.8
y = a + b
print(y)",57.22
8,원 안에 그릴 수 있는 폭이 8cm²인 최대의 마름모를 그렸습니다. 원의 반경은 몇 cm입니까?,"a = 8
y = (a * 2) ** (1 / 2) / 2
print(y)",2
8,삼각형 50개와 사각형 60개가 있습니다. 이 도형의 각도는 모두 일부를 저장합니다.,"a = 3
b = 50
c = 4
d = 60
y = (a * b) + (c * d)
print(y)",390
1,"클립이 1박스에 500개씩 들어 있는 경우, 14박스에 들어 있는 클립은 모두 몇개일까요?","a = 500
b = 14
y = a * b
print(y)",7000
5,다음 17 - □ - 37에서 규칙을 찾아 A로 들어갈 수 있습니다.,"a = 17
b = 37
c = a - b
y = b + c / 2
print(y)",27
1,주전자에 물이 4/6L 들어가있었습니다. 이 중 4/10분을 마시면 마신 물의 양은 무엇 L인가를 요구해 소수점 아래의 2 자리수까지 표기해 보세요.,"a = 4/6
b = 4/10
y = a * b
print(""{:.2f}"".format(y))",0.27
3,"4장의 숫자 카드 2, 3, 7, 9가 있습니다. 3장의 카드를 선택하여 한 번만 만들 수 있는 최대 3자리 수와 남은 수의 카드 수의 곱은 얼마입니까?","from itertools import permutations

a = ['2', '3', '7', '9']
b = 3
c = list(map(''.join, permutations(a, b)))
d = max(c)
for i in d:
    a.remove(i)
e = a[0]
y = int(d) * int(e)
print(y)",1946
