,Unnamed: 0,class,problem,code,answer
23,23,1,1 분에 42km를 가는 기차와 14분에 7km를 가는 버스가 있습니다. 각각 같은 빠르기로 41분 동안 간다면 기차는 버스보다 몇 k미터를 더 갈 수 있습니까?,"a = 1
b = 42
c = 14
d = 7
e = 41
y = (e / a * b) - (e / c * d)
print(y)",975.0
24,24,5,"어떤 수에 37를 더한 후 9로 나누고, 3를 뺀 값에 3를 곱한 값이 26라면, 어떤 수는 얼마일까요?","a = 37
b = 9
c = 3
d = 3
e = 26
y = (e / d + c) * b - a
print(y)",15
25,25,1,민규는 운동장에서 둘레가 1.77m인 굴렁쇠를 14바퀴 굴렸습니다. 민규가 굴렁쇠를 움직인 거리는 몇 m일까요?,"a = 1.77
b = 14
y = a * b
print(y)",17.27
26,26,4,"22, 74, 20가 있습니다. 이 중에서 가장 큰 수와 가장 작은 수를 뺀 값은 몇입니까?","a = [68, 92, 15]
y = max(a) - min(a)
print(y)",77
27,27,1,학생들이 운동장에서 한 줄에 6명씩 36줄로 서 있습니다. 줄을 선 학생은 모두 몇 명일까요?,"a = 36
b = 6
y = a * b
print(y)",182
28,28,5,40을 어떤 수로 나누었더니 7로 나누어 떨어졌습니다. 어떤 수는 얼마인지 구하시오. ,"a = 40
b = 7
y = a / b
print(y)",4
29,29,1,지우개가 한 상자에 79 개씩 6 상자 있습니다. 지우개는 총 몇 개 있을까요?,"a = 79
b = 6
y = a * b
print(y)",360
30,30,1,올해 지민이의 나이는 9살이고 오빠의 나이는 23살입니다. 지민이가 34살이면 오빠는 몇 살일까요?,"a = 9
b = 23
c = 34
y = b - a + c
print(y)",26
31,31,7,"명숙이네 학교 여학생은 442명, 남학생은 389명 있다면, 명숙이네 학교에는 남학생과 여학생 중 누가 더 많은지 구하세요.","a = 442
b = 389
dicts = {""여학생"": a, ""남학생"": b}
y = max(dicts, key=dicts.get)
print(y)",여학생
32,32,6,어떤 수에 45을 곱해야 하는데 실수로 74을 빼었더니 42가 되었습니다. 바르게 계산해 보세요.,"a = 45
b = 74
c = 42
y = (c + b) * a 
print(y)",2576
33,33,1,사탕이 한 봉지에 18개씩 들어 있습니다. 90봉지에 들어 있는 사탕은 모두 몇 개일 지 계산해보세요.,"a = 18
b = 90
y = a * b
print(y)",1550
34,34,8,직사각형의 넓이가 28km²이고 세로가 8km라고 합니다. 이 직사각형의 가로는 몇 m인가요?,"a = 28
b = 8
y = a / b * 1000
print(y)",5000
35,35,5,100 - 200 - 300 - 400과 같은 규칙으로 500에서 5번 뛰어 센 수를 구해보시오.,"a = 200
b = 100
c = a - b
d = 500
y = d + c * 5
print(y)",1000
36,36,1,농구공 10개를 보관함 3개에 똑같이 나누어 담으려고 합니다. 보관함 1개에 농구공을 몇 개씩 담을 수 있습니까?,"a = 10
b = 3
y = int(a / b)
print(y)",6
37,37,4,"각도 86°, 72°, 86°가 있습니다. 이중에서, 가장 큰 각도와 가장 작은 각도의 차를 구하시오.","a = [86, 72, 86]
y = max(a) - min(a)
print(y)",15
38,38,2,"진희, 희정, 윤빈, 정현이가 순서대로 줄을 서 있습니다. 5번째에 서 있는 사람은 누구인가요?","a = ['진희', '희정', '윤빈', '정현']
b = 5
y = a[b - 1]
print(y)",정현
39,39,1,"빨간색 끈의 길이는 4.8m이고 초록색 끈의 길이는 3.6m입니다. 빨간색 끈의 길이는 초록색 끈의 길이의 몇 배인지 구하고, 반올림하여 소수 둘째 자리까지 나타내시오..","a = 4.8
b = 3.6
y = a / b
print(""{:.2f}"".format(y))",1.91
40,40,8,넓이가 45.72센티미터인 원의 반지름의 길이가 다섯 배가 될 경우 둘레는 몇 센티미터인가요?,"import math

a = 45.72
b = 5
c = math.pi
y = (((a ** 0.5) / c) * b * c * 2) 
print(y)",57.17
41,41,1,승준이는 우유를 매일 0.7L씩 마십니다. 승준이가 4일 동안 마실 우유를 준비하려면 1L짜리 우유를 적어도 몇 개 구매해야할까요?,"from math import ceil

a = 0.7
b = 4
c = 1
y = ceil(a * b / c)
print(y)",4
42,42,8,한 변의 길이가 89/8cm인 정사각형이 있습니다. 이 정사각형의 둘레는 몇 cm인지 구하시오.,"a = 89/8
b = 4
y = a * b
print(y)",42
43,43,1,"학교 체육관에 남학생이 24명, 여학생이 54명 있었는데 이 중에서 36명이 교실로 들어갔습니다. 체육관에 남아 있는 학생은 몇 명일까요?","a = 24
b = 54
c = 36
y = a + b - c
print(y)",33
44,44,1,자동차 한 대를 주차하는 데 1/1 시간에 8661 원이라고 합 니다. 자동차 4 대를 2 시간 동안 주차하고 주차료를 5 사람이 똑같이 나누어 내기로 했다면 한 사람이 내야하는 금액은 얼마일까요?,"a = 1/1
b = 8661
c = 4
d = 2
e = 5
y = b / a * c * d / e
print(y)",9000
45,45,6,어떤 수를 3으로 나누어야 할 것을 실수로 4를 뺐더니 41이 되었습니다. 바르게 계산하면 얼마입니까?,"a = 3
b = 4
c = 41
y = (c + b) / a 
print(y)",9
46,46,8,넓이가 32센티미터제곱인 마름모의 한 대각선이 29cm일 때 다른 대각선은 몇 cm 입니까?,"a = 32
b = 29
y = a * 2 / b
print(y)",10
47,47,4,"3.23, 2.49, 4.8 중 가장 큰 수와 가장 작은 수의 합은 얼마입니까?","a = [3.23, 2.49, 4.8]
b = max(a)
c = min(a)
y = b + c
print(y)",7.16
48,48,1,"학교에서 세훈이네 집까지의 거리는 학교에서 승호네 집 까지의 거리의 5 배라고합니다. 학교에서 세훈이네 집까지의 거리가 7.3 km 일 때, 학교에서 승호네 집까지의 거리는 몇 km 입니까?","a = 7.5
b = 3
y = a / b
print(y)",3.10
49,49,8,원 안에 마름모의 넓이가 96cm²일 때 원의 반지름은 몇 cm일까요?,"a = 96
y = (a * 2) ** (1 / 2) / 2
print(y)",6.708203932499369
50,50,1,"사과 180개를 한 상자에 14개씩 담아 팔려고 한다면, 몇 상자를 팔 수 있는지 구하시오.","a = 180
b = 14
y = a // b
print(y)",25
51,51,8,"직사각형의 가로 길이가 54cm, 세로 길이가 45cm이라면, 이 직사각형의 넓이는 몇 cm²입니까?","a = 54
b = 45
y = a * b
print(y)",600
52,52,8,"원 모양의 탁자가 있습니다. 탁자의 지름이 31cm이라면, 탁자의 넓이는 몇 cm^3인가요? 원주율은 3.12로 계산합니다.","a = 31
b = 3.12
c = 3
y = (a / c) * (a / c) * b    
print(y)",706.50
53,53,1,861 - 154를 계산해보세요.,"a = 861
b = 154
y = a - b
print(y)",500
54,54,1,블록을 쌓아 성을 지으려고 합니다. 한 층을 만드는 데 블록 67개가 필요합니다. 6층짜리 성을 만들기 위해서는 블록 몇 개가 필요합니까?,"a = 67
b = 6
y = a * b
print(y)",60
55,55,1,윤성이는 사탕을 한 봉지에 11개씩 19봉지 담아서 7명에게 똑같이 나누어 주었습니다. 한 사람이 가지게 되는 사탕은 몇 개인가요?,"a = 11
b = 19
c = 7
y = a * b // c
print(y)",40
56,56,8,"밑변이 19센티미터, 윗변이 3센티미터, 높이가 5센티미터인 사다리꼴이 있습니다. 사다리꼴의 넓이를 구하세요.","a = 19
b = 3
c = 5
y = (a + b) * c / 2
print(y)",30
57,57,8,네 변의 길이의 합이 88cm 인 직사각형의 가로가 25cm 라면 세로는 몇 cm 입니까?,"a = 88
b = 25
y = (a - b * 2) / 2
print(y)",12
58,58,1,두웅이는 784 원짜리 색연필 3 자루와 719 원짜리 포스트잇 5 개를 사고 5950원을 냈습니다. 두웅이가 받을 거스름돈은 얼마인지 답을 구하여라.,"a = 784
b = 3
c =719
d = 5
e = 5950
y = e - (a * b + c * d)
print(y)",250
59,59,8,"가로의 길이가 12cm, 세로의 길이가 20cm인 직사각형이 있습니다. 이 직사각형의 넓이는 몇 cm²입니까?","a = 12
b = 20
y = a * b
print(y)",315
60,60,8,"길이가 75 센티미터인 실을 사용하여 가장 큰 정수 센티미터의 정사각형 모양을 만들었다면, 만들고 남은 실의 길이는 몇 센티미터 입니까?","a = 75
b = 4
c = a // b
y = a - (b * c)
print(y)",3
61,61,1,수효네 제과점에서 오늘 크림빵을 802개 만들었습니다. 이 크림빵을 41개까지 넣을 수 있는 상자에 모두 넣을 때 필요한 상자는 최소 몇 개일까?,"import math
a = 802
b = 41
y = math.ceil(a / b)
print(y)",20
62,62,3,1부터 7까지의 수 중에서 다음 식 17 * A > 88을 만족하는 수는 모두 몇 개인가요?,"a = 1
b = 7
c = 88
d = 17
y = 0
for i in range(a, b + 1):
    if i > c / d:
        y += 1
print(y)",1
63,63,8,모든 모서리의 길이가 같은 사각뿔이 있습니다. 모서리의 길이의 합이 83m 일 때 한 모서리의 길이는 몇 m 입 니까?,"a = 83
b = 4
y = a / (b * 2)
print(y)",7.50
64,64,8,"가로가 10cm, 세로가 7cm 인 직사각형의 네 변의 길이의 합은 몇cm 입니까?","a = 10
b = 7
y = (a + b) * 2
print(y)",38
65,65,6,어떠한 숫자를 7로 나누어야 할 것을 잘못하여 어떤 수에 2를 곱했더니 21.7가 되었습니다. 바르게 계산한 몫은 얼마인지 구하여 보시오.,"a = 7
b = 2
c = 21.7
y = c / b / a
print(y)",2.21
66,66,1,"이삿짐 8.9t을 이삿짐 차에 모두 실으려고 합니다. 차 한대에 1t씩 실을 수 있다고 하면, 최소 몇대의 이삿짐 차를 불러야합니까?","from math import ceil
a = 8.9
b = 1
y = ceil(a / b)
print(y)",5
67,67,1,"어떤 수를 7으로 나누었더니 12가 되었다면, 어떤 수는 얼마일까요?","a = 7
b = 12
y = a * b
print(y)",96
68,68,1,구슬이 27개 있습니다. 이 구술을 4명이 똑같이 나누어 가지면 한 명당 몇 개를 가지게 될까요?,"a = 27
b = 4
y = a // b
print(y)",6
69,69,8,한 변의 길이가 91센티미터인 정사각형과 둘레가 같은 정육각형의 한 변의 길이는 몇 센티미터입니까?,"a = 91
b = 4
c = 6
y = a * b / c
print(y)",40
70,70,1,"지하철에 45명이 타고 있었습니다. 다음역에 도착하여12 명이 내리고, 3명이 탔습니다. 지금 지하철에 타고 있는 사람은 몇 명인지 답을 구하세요.","a = 45
b = 12
c = 3
y = a - b + c
print(y)",12
71,71,8,"가로가 73센티미터, 세로가 22센티미터인 직사각형 모양의 종이를 크기가 같은 정사각형 모양으로 남는 부분 없이 자르려고 합니다. 자를 수 있는 가장 큰 정사각형 모양으로 자를 때 종이는 모두 몇 장 만들 수 있나요?","import math

a = 73
b = 22
c = math.gcd(a, b)
y = (a // c) * (b // c)
print(y)",90
72,72,1,"색 테이프를 10명이 똑같이 5.3미터씩 남김없이 나누어 가졌다고 하면, 처음에 있던 색 테이프는 몇 미터일까요?","a = 10
b = 5.3
y = a * b
print(y)",33
73,73,1,주전자의 물을 4리터 159밀리리터 마시고 봤더니 9리터 159밀리리터가 남았습니다. 처음 주전자에 들어 있던 물은 몇 밀리리터인가요?,"a = 4 * 1590 + 159
b = 9 * 1000 + 100
y = b + a
print(y)",7300
74,74,1,물에 미숫가루 41g을 녹여서 미숫가루티 467g을 만들었습니다.미숫가루티 양에 대한 미숫가루의 비율을 구하세요.,"a = 41
b = 467 
y = a / b
print(y)",0.07
75,75,8,"긴변이 39센티미터, 짧은변이 16센티미터인 직사각형의 둘레는 몇 센티미터 입니까?","a = 39
b = 16
y = a * 2 + b * 2
print(y)",68
76,76,8,"가로가 23cm, 세로가 48cm인 직사각형을 한 번 잘라서 가장 큰 정사각형을 만들었습니다. 정사각형을 만들고 남은 직사각형의 네 변의 길이의 합은 몇 cm 입니까?","a = 48
b = 23
c = abs(a - b)
y = (b + c) * 2
print(y)",36
77,77,1,경수는 15483원짜리 지폐를 8장 가지고 있습니다. 경수가 가지고 있는 돈은 얼마인가요?,"a = 15483
b = 8
y = a * b
print(y)",80000
78,78,8,"성진이는 철사를 277cm 가지고 있습니다. 이 철사를 사용하여 긴 변이 15cm , 짧은 변이 6cm 인 평행사변형 4 개를 겹치는 부분 없이 만들었습니다. 만들고 남은 철사는 몇 cm 입니까?","a = 277
b = 15
c = 6
d = 4
y = a - (b + c) * 2 * d
print(y)",12
79,79,3,"4장의 숫자 카드 3, 1, 5, 9가 있습니다. 이를, 한 번씩만 사용하여 2개의 두 자리 수를 만들었습니다. 두 수를 곱할 때, 가장 작은 곱을 계산하세요.","from itertools import permutations

a = ['3', '1', '5', '9']
b = list(map(''.join, permutations(a)))
c = []
for i in b:
    d = int(i[:2])
    e = int(i[2:])
    c.append(d * e)
y = min(c)
print(y)",585
80,80,1,물 2.9L를 병 5개에 똑같이 나누어 담으려고 합니다. 병 한 개에 담을 수 있는 물은 몇 L일까요?,"a = 2.9
b = 5
y = a / b
print(y)",0.46
81,81,7,"민지, 호정, 진수는 감자밭에서 감자를 캤습니다. 딴 감자 전체의 1/9은 민지가 캤고 호정이는 민지가 딴 양의 3 배를 캤고, 나머지는 진수가 캤습니다. 감자를 가장 많이 캔 사람은 누구입니까?","a = 1 / 9
b = a * 3
c = 1 - (a + b)
dicts = {'민지': a, '호정': b, '진수': c}
y = max(dicts, key=dicts.get)
print(y)",호정
82,82,1,종국이네 어머니께서는 정육점에서 소고기 6.3kg을 사 오셨습니다. 이 중에 서 0.89 kg을 사용했다면 남은 소고기는 몇 kg인가요?,"a = 6.3
b = 0.89
y = a - b
print(y)",3.12
83,83,1,"혜진이는 228원짜리 동전 13개, 19원짜리 동전 8개를 가지고 있습니다. 혜진이가 가진돈에서 4257원이 되려면 얼마가 더 있어야 합니까?","a = 228 * 13
b = 19 * 8
c = 4257
y = c - a - b
print(y)",650
84,84,1,물 637L를 27L들이 물통에 가득 나누어 담는다면 물통은 몇 개가 필요합니까?,"from math import ceil

a = 637
b = 27
y = ceil(a / b)
print(y)",20
85,85,7,"부채가 3523개, 전기 모기향이 1683개, 모기장이 1714개 있다면, 부채, 전기 모기향, 모기장 중 가장 많은 것은 어느 것일까요?","a = 3523
b = 1683
c = 1714
dicts = {'부채': a, '전기 모기향': b, '모기장': c}
y = max(dicts, key=dicts.get)
print(y)",모기장
86,86,5,3 리터 짜리 물통에 물이 가득 들어 있습니다. 세훈이가 컵으로 가득 3 번 덜어 내었더니 물은 0.2리터 가 남았습니다. 컵의 들이는 몇 리터 인지 소수로 나타내시오.,"a = 3
b = 3
c = 0.2
y = (a - c) / b
print(y)",0.40
87,87,3,"숫자 카드 4, 3, 8, 3, 8를 한 번 사용하여 다섯 자리 수를 만들려고 합니다. 가장 큰 수를 구해보시오.","from itertools import permutations

a = ['4', '3', '8', '3', '8']
y = int(max(map(''.join, permutations(a, 5))))
print(y)",76542
88,88,8,둘레가 22cm 이고 세로가 3cm 인 직사각형 모양의 다이어리의 가로는 몇 cm 입니까?,"a = 22
b = 3
c = 4
y = (a - b * 2) / 2
print(y)",10
89,89,2,"현종이는 오늘 국어, 수학, 과학, 사회, 영어 순서로 공부를 하려고 합니다. 2번째로 공부할 과목의 이름을 적으시오.","a = ['국어', '수학', '과학', '사회', '영어']
b = 2
y = a[b - 1]
print(y)",과학
90,90,1,"바구니 안에 공이 125개 있습니다. 그중에서 야구공은 67개, 농구공은 41개입니다. 전체 공 수에 대한 농구공 수의 비율은 몇 % 일까요?","a = 125
b = 67
c = 41
y = c / a * 100
print(y)",32
91,91,8,"가로가 28cm, 세로가 4cm인 직육면체의 모든 모서리의 길이의 합이 150cm라고 한다면, 직육면체의 높이는 얼마일까요?","a = 28
b = 4
c = 150
y = (c - (a + b) * 4) / 4
print(y)",17.5
92,92,1,귤 78개를 바구니 5개에 똑같이 나누어 담았습니다. 바구니 하나에 들어 있는 귤을 4명에서 똑같이 나누어 먹으려면 한 사람 당 몇 개의 귤을 먹을 수 있습니까?,"a = 78
b = 5
c = 4
y = a // b // c
print(y)",3
93,93,8,지름이 19센티미터 인 원 안에 반지름이 1센티미터 인 원을 겹치지 않게 몇 개까지 그릴 수 있습니까?,"a = 19
b = 1
c = 2 * b
y = int(a / c)
print(y)",4
94,94,3,"숫자 카드 4, 3, 1, 4, 1 중에서, 카드를 모두 한 번씩만 사용하여 만들 수 있는 네 자리 수 중에서 가장 작은 수를 얼마입니까?","from itertools import permutations

a = ['4', '3', '1', '4', '1']
y = int(min(map(''.join, permutations(a, 4))))
print(y)",1235
95,95,8,밑변의 길이가 4cm이고 넓이가 77cm²인 평행사변형의 높이는 몇 cm일까요?,"a = 4
b = 77
y = b / a
print(y)",7
96,96,1,"서준이는 우유를 매일 1.1리터씩 마신다면, 서준이가 15일 동안 마실 우유를 준비할때, 1리터짜리 우유를 적어도 몇 개 사야 합니까?","import math

a = 1.1
b = 15
c = 1
y = ceil(a * b / c)
print(y)",12
97,97,1,"초콜릿이 39개씩 4상자 있습니다. 이 바둑돌을 7명의 학생들에게 똑같이 나누어 주려고 한다면, 한 명에게 몇 개씩 나누어 줄 수 있는지 구해 보세요.","a = 39
b = 4
c = 7
y = a * b // c
print(y)",10
98,98,6,"어떤 수에서 21을 빼야 하는데 실수로 23을 뺀 결과가 88이 나왔다면, 바르게 계산하면 답은 얼마일까요?","a = 21
b = 23
c = 88
y = (c + b) - a
print(y)",66
99,99,7,"미지는 매일 419 원씩 9 일 동안 저금하였고, 다혜는 미지가 저금한 돈의 2 배보다 1450 원 더 많이 저금하였습니다. 수정이는 매일 478 원씩 38 일 동안 저금하였습니다. 누가 가장 많은 돈을 저금했을까요?","a = 419
b = 9
c = 2
d = 1450
e = 478
f = 38
dicts = {'미지': a * b, '다혜': (a * b) * c + d, '수정': e * f}
y = max(dicts, key=dicts.get)
print(y)",수정
100,100,8,세 변의 길이의 합이 53센티미터인 정삼각형의 한 변의 길이는 몇 센티미터일까요?,"a = 53
b = 3
y = a / b
print(y)",19
101,101,3,"숫자 카드 5, 1, 2, 9가 있습니다. 이중에서, 3 장을 뽑아 두 자리 수와 한 자리 수 하나씩을 만들었을 때, 곱이 가장 큰 경우의 값을 구하시오.","from itertools import permutations

a = ['5', '1', '2', '9']
b = list(map(''.join, permutations(a, 3)))
c = []
for i in b:
    d = int(i[:-1])
    e = int(i[-1])
    c.append(d * e)
y = max(c)
print(y)",765
102,102,8,반지름이 6cm인 원의 지름은 몇cm 입니까?,"a = 6
b = 2
y = a * b
print(y)",8
103,103,1,철민이는 과자를 8개 먹었고 정윤이는 철민이가 먹은 과자의 9배를 먹었습니다. 정윤이가 먹은 과자는 모두 몇 개인지 답을 구하세요.,"a = 8
b = 9
y = a * b
print(y)",56
104,104,7,29 분에 17 km 를 가는 A 자동차와 34 분에 15 km를 가는 B 자동차가 있습니다. 두 자동차가 동시에 출발하여 164분 동안 쉬지 않고 동일한 속도로 움직였습니다. A 자동차와 B 자동차 중 어떤 자동차가 더 먼 거리를 이동했을까요?,"a = 29
b = 17
c = 34
d = 15
e = 164
f = e / a * b
g = e / c * d
dicts = {'A': f, 'B': g}
y = max(dicts, key=dicts.get)
print(y)",A
105,105,1,전체 타수에 대한 안타 수의 비율을 타율이라고 합니다. 어느 야구 선수는 160타수 중에서 안타가 42개였다고 합니다. 이 야구 선수의 타율을 백분율로 나타내세요.,"a = 160
b = 42
y = b / a * 100
print(y)",7.6190476190476195
106,106,8,"윗변이 8센티미터, 밑변이 12센티미터, 높이가 5센티미터인 사다리꼴이 있습니다. 이 사다리꼴의 넓이를 구하세요.","a = 8
b = 12
c = 5
y = (a + b) * c / 2
print(y)",51
107,107,7,"나은의 키는 143센티미터이고, 가은이의 키는 202.3 센티미터라면, 누구의 키가 더 큽니까?","a = 143
b = 202.3
dicts = {""나은"": a, ""가은"": b}
y = max(dicts, key=dicts.get)
print(y)",나은
108,108,1,어떤 식료품점에서는 10개에 24034원 하는 석류를 사와서 한 상자에 8개씩 담아 11685 원에 팔았습니다. 식료품점에서 석류를 팔아 얻은 수익이 26696 원이라면 판 석류는 모두 몇 상자입니까?,"from math import ceil

a = 10
b = 24034
c = 8
d = 11685
e = 26696
y = ceil((e / ((d / c) - (b / a))) / c)
print(y)",11
109,109,1,"진호는 매일 3.3km씩 산책을 한다면, 진호가 22일 동안 산책한 거리는 모두 몇 km인가요?","a = 3.3
b = 22
y = a * b
print(y)",74.20
110,110,7,"어느 상점에서 초콜릿은 5개에 3000원이고, 카라멜은 4개에 2800원이라고 합니다. 초콜릿과 카라멜 중 한 개의 값은 어느 것이 더 비쌉니까?","a = 5
b = 3000
c = 4
d = 3200
dicts = {'초콜릿': b / a, '카라멜': d / c}
y = max(dicts, key=dicts.get) 
print(y)",카라멜
111,111,7,"재용이네 집의 세탁기는 세탁 과정과 헹굼 과정을 한 번씩 이용하는 데 99L의 물이 사용된다고 합니다. 헹굼 과정에서 사용된 물의 양이 69L 644mL일 때, 세탁과 헹굼 중 더 많은 양의 물을 사용한 과정은 무엇일까요?","a = 99 * 1000
b = 69 * 1000 + 644
y = a - b
dicts = {'세탁': a - b, '헹굼': b}
y = max(dicts, key=dicts.get)
print(y)",헹굼
112,112,1,"희섭이와 동생은 종이학을 24 일 동안 접었습니다. 종이학을 희섭이는 하루에 4 개씩 접고, 동생은 4 개씩 접었습니다. 두 사람이 접은 종이학을 8 명에게 똑같이 나누어 주려면 한 사람에게 몇 개씩 나누어 줄 수 있을까요?","a = 24
b = 4
c = 4
d = 8
y = (b + c) * a // d
print(y)",18
113,113,8,"가로의 길이가 20센티미터, 세로의 길이가 18센티미터인 직사각형이 있습니다. 이 직사각형의 넓이는 몇 센티미터²일까요?","a = 20
b = 18
y = a * b
print(y)",195
114,114,1,"탁구공 9999개를 한 상자에 3086개씩 포장한다면, 포장된 탁구공은 모두 몇 개입니까?","a = 9999
b = 3086
y = a // b * b
print(y)",9000
115,115,1,"초콜릿이 36개, 사탕이 52개 있습니다. 초콜릿과 사탕을 합쳐 한 봉지에 6개씩 담으려면 봉지가 몇 개 필요합니까?","a = 36
b = 52
c = 6
y = (a + b) // c
print(y)",6
116,116,1,"호상이는 자전거를 타고 423km를 달렸습니다. 첫째날에는 1/4를 달렸고, 둘째날에는 나머지 거리의 1/2를 달렸습니다. 그렇다면 둘째날 호상이가 달린 거리는 몇 km 입니까?","a = 423
b = 1/4
c = 1/2
y = (a * (1 - b)) * c
print(y)",80.0
117,117,8,둘레가 44.8cm인 원의 지름은 몇 cm 인가요? 원주율은 2.1으로 계산합니다.,"a = 44.8
b = 2.1
y = a / b
print(y)",15
