,class,problem,code,answer
2652,1,진수는 20살입니다. 진수 어머니의 나이는 진수 나이의 2배보다 12살이 많다고 합니다. 진수 어머니는 몇 살일까요?,"a = 20
b = 2
c = 12
y = a * b + c
print(y)",52
7,1,"나은이네 모둠과 도진이네 모둠이 전철를 나누어 탔습니다. 나은이네 모둠 8명은 15인승 칸에 탔고, 도진이네 모둠 6명은 11인승 칸에 탔습니다. 더 넓게 느껴졌을 모둠의 전철 인승에 대한 모둠 인원 수를 구하세요.","a = 8
b = 15
c = 6
d = 11
dicts = {a: b/a, c: d/c}
y = max(dicts, key=dicts.get)
print(y)",8
168,4,"53을 어떤 수로 나누면 나머지가 2이고, 56을 어떤 수로 나누면 나머지가 8입니다. 어떤 수가 될 수 있는 수를 구해 보세요.","import math
a = 53
b = 2
c = 56
d = 8
y = math.gcd(a - b, c - d)
print(y)",3
1285,4,"숫자 카드 2, 6, 4, 7, 5 가 있습니다. 숫자 카드 중에서 4장을 골라 한 번씩만 사용해 (세 자리 수)÷(한 자리 수)의 나눗셈식을 만들려고 합니다. 몫이 가장 작은 나눗셈식의 몫과 나머지를 더한 값을 계산해보세요. ","from itertools import permutations

a = ['2', '6', '4', '7', '5']
b = int(min(map(''.join, permutations(a, 3))))
c = int(max(a))
y = b // c + b % c
print(y)",35
2791,1,"냉장고에 우유가 4리터 있었습니다. 세은이는 우유 전체의 1/4을 마셨다면, 세은이가 마신 우유의 양은 몇리터인가요?","a = 4
b = 1/4
y = a * b
print(y)",1.0
1661,8,한 변의 길이가 3cm인 정구각형을 밑면으로 하는 각기둥의 모든 모서리의 길이의 합이 108cm일 때 각기둥의 높이는 몇 cm일까요?,"a = 3
b = 9
c = 108
y = (c - a * b * 2) // b
print(y)",6
1665,4,1부터 9까지의 수 중에서 다음 식 A*5 > 27를 만족하는 수는 모두 몇 개 일까요?,"a = 1
b = 9
c = 5
d = 27
y = 0
for i in range(a, b + 1):
    if i > (d / c):
        y += 1
print(y)",4
478,6,어떤 수에 5를 곱해야 할 것을 잘못하여 더했더니 13이 되었습니다. 바르게 계산해보시오.,"a = 5
b = 13
y = (b - a) * a
print(y)",40
2281,8,"서로 다른 세 면의 넓이가 각각 12cm², 24cm², 36cm²인 직육면체의 겉넓이는 몇  cm²입니까?","a = 12
b = 24
c = 36
y = (a + b + c) * 2
print(y)",144
2605,1,"문방구에 구슬이 한 봉지에 9개씩 34봉지가 있고, 한 상자에 100개씩 6상자가 있습니다. 문방구에 있는 구슬은 총 몇 개입니까?","a = 9
b = 34
c = 100
d = 6
y = (a * b) + (c * d)
print(y)",906
1733,8,한 변이 37cm 인 정삼각형 모양의 색종이의 둘레를 구하시오.,"a = 37
b = 3
y = a * b
print(y)",111
2353,6,잘못하여 7로 나누어야 할 수를 곱했더니 73.86가 되었습니다. 바르게 계산한 값은 얼마인가요?(소수점 아래 둘째자리까지 표기하시오),"a = 7
b = 73.86
y = b / a / a
print(""{:.2f}"".format(y))",1.51
734,6,어떤 수에서 800을 빼야 할 것을 잘못하여 200을 뺐더니 1360이 되었습니다. 바르게 계산해보시오.,"a = 800
b = 200
c = 1360
y = c + b - a
print(y)",760
1462,8,"가로가 19cm이고, 세로가 12cm인 직사각형이 있습니다. 이 직사각형의 둘레를 구하시오","a = 19
b = 12
y = (a + b) * 2
print(y)",62
2267,7,"민지는 1996년에, 민정이는 1995년에 태어났습니다. 더 먼저 태어난 사람은 누구일까요?","a = 1996
b = 1995
dicts = {'민지': a, '민정': b}
y = min(dicts, key=dicts.get)
print(y)",민정
905,8,직사각형의 넓이가 50km²이고 세로가 25km일 때 가로는 몇 m인가요?,"a = 50
b = 25
y = a / b * 1000
print(y)",2000.0
286,1,과수원에서 오늘 감귤을 400개 수확했습니다. 이 감귤을 한 상자에 5개씩 담아 팔려고 합니다. 팔 수 있는 감귤은 최대 몇 상자일까요?,"a =400 
b = 5
y = a // b
print(y)",80
2773,8,"가로가 300센티미터, 세로가 800센티미터인 직사각형 모양의 게시판의 넓이는 몇 제곱미터인가요?","a = 3
b = 8
y = a * b
print(y)",24
1552,1,구슬 81개를 한 명에게 3 개씩 주면 모두 몇 명에게 나누어 줄 수 있을 지 계산해보시오.,"a = 81
b = 3
y = a // b
print(y)",27
1275,1,태양과 행성 A사이의 거리는 태양과 지구 사이의 거리인 1억 4970만km의 12배입니다. 태양과 행성 A사이의 거리는 몇 km일까요?,"a = 149700000
b = 12
y = a * b
print(y)",1796400000
2817,1,4880보다 ○ 큰 수 는 9000입니다. ○안에 알맞은 수를 써 넣으시오.,"a = 9000
b = 4880
y = a - b
print(y)",4120
158,3,"숫자 카드 1, 3, 5, 6, 8, 2 중에서, 카드를 각각 한 번씩 사용하여 만들 수 있는 수 중 가장 큰 수를 구해 보시오.","a = [1, 3, 5, 6, 8, 2]
a.sort(reverse=True)
b = list(map(str, a))
y = """".join(b)
print(y)",865321
169,6,"어떤 수에 50을 곱해야 하는데 실수로 50을 더했더니 100이 되었다면, 바르게 계산한 결과는 얼마입니까?","a = 50
b = 100
y = (b - a) * a
print(y)",2500
102,8,반지름이 4cm인 원의 지름은 몇cm 입니까?,"a = 4
b = 2
y = a * b
print(y)",8
1999,8,가로가 세로보다 3cm 더 짧은 직사각형이 있습니다. 이 직사각형의 네 변의 길이의 합이 30cm일 때 직사각형의 가로은 몇cm 입니까?,"a = 3
b = 30
y = ((b / 2) + a) / 2 - a
print(y)",6.0
597,5,자동차로 120km를 가는 데 2시간이 걸렸습니다. 이 자동차가 120km를 가는 데 걸린 시간에 대한 간 거리의 비율을 구하세요.,"a = 120
b = 2
y = a / b
print(y)",60.0
1966,8,긴 변이 7cm 짧은 변이 3cm인 직사각형 A와 한변이 6cm인 정사각형 B 중에서 네 변의 길이의 합이 더 긴 것은 몇cm 더 깁니까?,"a = 7
b = 3
c = 6
d = 4
y = abs((a + b) * 2 - (c * d))
print(y)",4
1540,8,한 변의 길이가 7/9미터인 정사각형의 둘레는 몇 미터입니까?,"a = 7 / 9
b = 4
y = a * b
print(y)",3.111111111111111
1382,1,"은영이의 키는 1 미터 60 센티미터 이고, 미선이의 키는 은영이 보다 2센티미터 더 크다고 합니다. 미선이의 키는 몇 미터 인지 소수로 나타내시오.","a = 1.60
b = 2
c = 0.01
d = b * c
y = a + d
print(y)",1.62
2020,1,상우네 가족은 하루에 물을 168L 사용합니다. 수압 밸 브를 약하게 조절하면 평소 사용량의 0.64 배만큼 아낄 수 있습니다. 수압 밸브를 약하게 조절했을 때 상우네 가족이 하루 동안 아낄 수 있는 물은 몇 L 일까요?,"a = 168
b = 0.64
y = a * b
print(y)",107.52
2634,5,"계산 결과를 비교하여 ○ 안에 >, =, <를 알맞게 써넣으시오. 123 + 456 ○ 789 - 123","a = 123
b = 456
c = 789
d = 123
if a + b > c - d:
    y = '>'
elif a + b < c - d:
    y = '<'
else:
    y = '='
print(y)",<
951,1,"아버지의 한 뼘은 20 센티미터입니다. 방의 길이를 아버지의 뼘으로 재었더니 약 30뼘이였다고하면, 방의 길이는 약 몇 미터일까요?","a = 20
b = 30
c = 100
y = (a * b) // c
print(y)",6
1355,3,50부터 100까지의 수 중에서 4로 나누었을 때 나머지가 3이 되는 수는 모두 몇 개입니까?,"a = 50
b = 100
c = 4
d = 3
y = 0
for i in range(a, b + 1):
    if i % c == d:
        y += 1
print(y)",13
2406,8,"가로가 50센티미터, 세로가 20센티미터인 직사각형 모양의 종이가 있습니다. 이 종이를 크기가 같은 정사각형 모양으로 남는 부분 없이 자를 수 있는 가장 큰 정사각형 모양으로 자를 때 종이는 모두 몇 장 만들 수 있나요?","import math

a = 50
b = 20
c = math.gcd(a, b)
y = (a // c) * (b // c)
print(y)",10
2275,8,"가로가 12센티미터, 세로가 9센티미터인 부피가 540세제곱센티미터인 직육면체가 있습니다. 이 직육면체의 높이는 몇 cm인가요?","a = 12
b = 9
c = 540
y = c / a / b
print(y)",5.0
1961,2,"정수, 범호, 민호, 남진, 윤정, 유미 순서로 줄을 서려고 합니다. 민호는 몇 번째 줄에 서 있을까요?","a = ['정수', '범호', '민호', '남진', '윤정', '유미']
b = '민호'
y = a.index(b) + 1
print(y)",3
1155,1,진규는 원래 하루에 물을 15리터사용합니다. 수압 밸브를 약하게 조절하면 평소 사용량의 0.3배만큼 절약할 수 있습니다. 수압 밸브를 약하게 조절했을 때 진규가 하루 동안 아낄 수 있는 물은 몇 리터인가요?,"a = 15
b = 0.3
y = a * b
print(y)",4.5
604,1,"재용이가 가지고 있는 연필의 길이는 민우가 가지고 있는 연필의 길이의 3.7배이고, 재용이가 가지고 있는 연필의 길이가 22.51 센티미터라면, 민우가 가지고 있는 연필의 길이는 몇 센티미터인지 구해 보세요.","a = 3.7
b = 22.51
y = b / a
print(y)",6.083783783783784
1379,1,만쥬가 10개씩 4봉지 있습니다. 만쥬를 한 명에게 8개씩 나누어 준다면 몇 명에게 나누어 줄 수 있습니까?,"a = 10
b = 4
c = 8
y = a * b // c
print(y)",5
1276,1,스파츌러 60개가 있습니다. 6명이 똑같이 나누어 사용한다면 한 명이 스파츌러를 몇 개씩 사용할 수 있을까요?,"a = 60
b = 6
y = a // b
print(y)",10
2103,4,"수 16, 21, 32, 5, 6, 2 중에서 가장 작은 두 자리 수와 가장 작은 한 자리 수를 곱한 값을 구해보세요.","a = [16, 21, 32, 5, 6, 2]
b = []
c = []
for i in a:
    if i < 10:
        c.append(i)
    else:
        b.append(i)
y = min(b) * min(c)
print(y)",32
2695,7,32개씩 들어있는 초콜릿 9상자와 50개씩 들어있는 사탕 5봉지가 있습니다. 둘중에 개수가 더 많은 것은 무엇입니까?,"a = 32
b = 9
c = 50
d = 5
dicts = {'초콜릿': a * b, '사탕': c * d}
y = max(dicts, key=dicts.get) 
print(y)",초콜릿
1027,7,"경진이는 1/5시간 동안, 인수는 1/4시간 동안 운동을 했습니다. 누가 운동울 더 오래했는지 구해 보시오.","a = 1 / 5
b = 1 / 4
dicts = {'경진': a, '인수': b}
y = max(dicts, key=dicts.get) 
print(y)",인수
81,7,"민지, 호정, 진수는 감자밭에서 감자를 캤습니다. 딴 감자 전체의 2/9은 민지가 캤고 호정이는 민지가 딴 양의 3 배를 캤고, 나머지는 진수가 캤습니다. 감자를 가장 많이 캔 사람은 누구입니까?","a = 2 / 9
b = a * 3
c = 1 - (a + b)
dicts = {'민지': a, '호정': b, '진수': c}
y = max(dicts, key=dicts.get)
print(y)",호정
2163,8,"둘레가 60cm이고, 가로가 세로보다 10cm 더 긴 직사각형의 넓이는 몇 cm²일까요?","a = 60
b = 10
c = (a / 2 - b) / 2
d = c + b
y = c * d
print(y)",200.0
2030,8,"가로가 21센티미터, 세로가 27센티미터인 직사각형의 가로와 세로의 길이의 차는 몇 센티미터인지 구하시오.","a = 21
b = 27
y = abs(a - b)
print(y)",6
1073,6,어떤 수를 5로 나누어야 할 것을 실수로 곱했더니 35가 되었습니다. 바르게 계산하면 나머지는 얼마입니까?,"a = 5
b = 35
y = (b / a) % a
print(y)",2.0
692,8,한 밑면의 변의 수가 5개인 각기둥의 면의 수를 쓰세요.,"a = 5
y = a + 2
print(y)",7
667,1,한 시간에 90바퀴를 도는 모터가 있습니다. 모터가 630바퀴 돌았다면 몇 시간 동안 돌았을까?,"a = 90
b = 630
y = b // a
print(y)",7
2742,7,꽃밭에서 성준이네 집까지는 9 m 90 cm이고 현준이네 집까지는 980 cm입니다. 꽃밭에서 누구네 집이 더 가까운가요?,"a = (9 * 100) + 90
b = 980
dicts = {'성준': a, '현준': b}
y = min(dicts, key=dicts.get)
print(y)",현준
1421,1,둘레가 56m 인 마당 둘레에 4m 간격으로 화분을 놓으려고 합니다. 화분의 값이 개당 4000 원이라면 화분을 사는 데 필요한 돈은 얼마인지 구하시오.,"a = 56
b = 4
c = 4000
y = a // b * c
print(y)",56000
2430,1,"수현이의 키는 160cm이고, 아버지의 키는 188cm입니다. 언니의 키는 수현이보다 2cm 더 크다면, 아버지와 언니의 키의 차는 몇cm인가요?","a = 160
b = 188
c = 2
y = abs(b - (a + c))
print(y)",26
1135,1,"노란색 리본의 길이는 9 cm 3 mm, 파란색 리본의 길이는 27 mm입니다. 두 리본의 차이는 몇 cm일까요?","a = 93
b = 27
y = abs(a - b)
print(y)",66
68,1,구슬이 24개 있습니다. 이 구술을 4명이 똑같이 나누어 가지면 한 명당 몇 개를 가지게 될까요?,"a = 24
b = 4
y = a // b
print(y)",6
2192,8,한 변이 5센티미터인 정사각형 모양의 책이 있습니다. 이 책의 둘레를 구하시오.,"a = 5
b = 4
y = a * b
print(y)",20
935,7,"학생 수가 천재 초등학교는 3222명, 일등 초등학교는 3333명입니다. 학생 수가 더 많은 초등학교의 이름을 쓰세요. ","a = 3222
b = 3333
dicts = {'천재': a, '일등': b}
y = max(dicts, key=dicts.get)
print(y)",일등
2364,1,1 L 들이 물통에 물이 가득 들어 있습니다. 수현이가 컵으로 가득  4번 덜어 내었더니 물은 0.8L 가 남았습니다. 컵의 들이는 몇 L 인지 소수로 나타내어라.,"a = 1
b = 4
c = 0.8
y = (a - c) / b
print(y)",0.04999999999999999
1569,5,어떤 수의 10 배는 20입니다. 어떤 수의 0.01배는 얼마입니까?,"a = 10
b = 20
c = b / 10
d = 0.01
y = c * d
print(y)",0.02
912,7,"172 cm인 친구의 키를 진수는 175cm으로 어림하였고 민현이는 170cm으로 어림하였다면, 둘 중에 누가 더 가깝게 어림하였는지 구하세요.","a = 172
b = 175
c = 170
dicts = {'진수': abs(a - b), '민현': abs(a - c)}
y = min(dicts, key=dicts.get)
print(y)",민현
683,4,어떤 두 수의 최소공배수가 11일 때 두 수의 공배수 중에서 가장 큰 두 자리 수는 몇 일까요?,"a = 11
b = 100 // a
y = a * b
print(y)",99
697,1,가비는 오늘 한 컵에 1/5L씩 들어있는 주스를 3컵마셨습니다. 가비가 오늘 마신 주스는 모두 몇 L일까요?,"a = 1 / 5
b = 3
y = a * b
print(y)",0.6000000000000001
974,1,딸기잼을 15L를 2.3L씩 병에 나누어 담을 때 나누어 담고 남는 딸기잼은 몇 L인지 구하세요.,"a = 15
b = 2.3
c = a // b
y = a - b * c
print(y)",1.200000000000001
1608,1,"화살을 넣으면 3점, 넣지 못하면 2점을 잃는다고 합니다. 화살 10개를 넣고 5개를 넣지 못했을 때 수연이의 점수는 몇 점인지 구하세요.","a = 3
b = 2
c = 10
d = 5
y = (a * c) - (b * d)
print(y)",20
2121,6,어떤 수를 6로 나누었더니 9로 나누어 떨어졌습니다. 어떤 수를 2으로 나눈 몫은 얼마입니까?,"a = 6
b = 9
c = 2
y = a * b // c
print(y)",27
744,8,네 변의 길이의 합이 400cm인 큰 정사각형이 있습니다. 이 정사각형 안에 선을 그어 만든 크기가 똑같은 100개의 작은 정사각형을 만들었습니다. 작은 정사각형의 한변의 길이를 구하시오.,"a = 400
b = 100
c = 4
y = a / b ** 0.5 / c
print(y)",10.0
1420,4,"숫자 15, 2, 9 가 있습니다. 가장 큰 수에서 가장 작은 수를 뺀 값을 구하시오.","a = [15, 2, 9]
y = max(a) - min(a)
print(y)",13
2370,1,색종이 한 장으로 종이학 4개를 만들 수 있습니다. 종이학 56개를 만들려면 색종이 몇 장을 사용해야 할까요?,"from math import ceil

a = 56
b = 4
y = ceil(a / b)
print(y)",14
687,8,"지혜는 밑변이 10 센티미터 이고 높이가 4 센티미터인 삼각형을 그렸고, 동건이는 밑변이 30 센티미터이고 높이가 8 센티미터인 삼각형을 그렸습니다. 동건이가 그린 삼각형의 넓이는 지혜가 그린 삼각형의 넓이의 몇 배인지 구해보시오.","a = 10 * 4 * 0.5
b = 30 * 8 * 0.5
y = b / a
print(y)",6.0
869,8,진희는 둘레가 444.88cm인 정사각형 모양 캔버스에 유화를 그렸습니다. 캔버스의 한 변의 길이는 몇 cm인가요?,"a = 444.88
b = 4
y = a / b
print(y)",111.22
1200,8,한 변의 길이가 3cm인 정삼각의 세 변의 길이의 합은 몇 cm인가요?,"a = 3
b = 3
y = a * b
print(y)",9
1340,6,어떤 수에 5를 곱해야 하는데 잘못하여 더하였더니 31이 되었습니다. 어떤 수에 5를 곱하면 얼마입니까?,"a = 5
b = 31
y = (b - a) * a
print(y)",130
1055,5,"801400은 100000이 3개, A가 100개, 1000이 1개, 100이 4개인 인 수입니다. A에 알맞은 수를 구하시오.","a = 801400
b = 3 * 100000
c = 100
d = 1 * 1000
e = 4 * 100
f = a - (b + d + e)
y = f // c
print(y)",5000
1070,5,민주의 나이는 20살이고 현수의 나이는 24살입니다. 민주과 현수의 나이의 합이 90살이 될 때 민주의 나이를 구하세요.,"a = 20
b = 24
c = 90
y = a + (c - a - b) // 2
print(y)",43
2593,6,십의 자리 숫자가 5인 어떤 두 자리 수에 9을 곱하면 468입니다. 어떤 두 자리 수와 2의 곱을 구하시오.,"a = 9
b = 468
c = 2
y = b / a * c
print(y)",104.0
419,8,"어떤 직사각형의 가로와 세로의 길이가 12 cm, 19cm라고 할때, 나머지 두 변의 길이의 합은 몇 cm인지 구하세요.","a = 12
b = 19
y = a + b
print(y)",31
1651,8,한 변이 22cm 인 정사각형 모양의 책의 둘레를 구하시오.,"a = 22
b = 4
y = a * b
print(y)",88
1823,8,"가로는 9cm , 세로는 2cm인 직사각형 모양의 땅의 넓이는 몇 cm²인지 구해 보세요.","a = 9
b = 2
y = a * b
print(y)",18
2301,5,도희는 책을 읽다가 펼쳐져 있는 두 쪽수를 더했더니 101이었습니다. 두 쪽수의 곱은 몇일까요?,"a = 101
b = (a + 1) // 2
y = (b - 1) * b
print(y)",2550
132,1,고순이의 몸무게는 누나의  몸무게의 0.3배입니다. 누나의 몸무게가 62.6kg이라면 고순이의 몸무게는 몇 kg일까?,"a = 0.3
b = 62.6
y = a * b
print(y)",18.78
1879,1,서우는 저금통에 500원짜리 동전을 30개를 가지고 있습니다. 저금통에 들어있는 돈은 모두 얼마입니까?,"a = 500
b = 30
y = a * b
print(y)",15000
1782,3,"숫자 카드 1, 5, 6을 한 번씩만 사용하여 세 자리 수를 만들려고 합니다. 만들 수 있는 가장 큰 수와 가장 작은 수의 차를 구하시오.","a = ['1', '5', '6']
a.sort()
b = int(''.join(a))
a.sort(reverse=True)
c = int(''.join(a))
y = c - b
print(y)",495
568,8,넓이가 81센티미터²인 정사각형의 둘레는 몇 센티미터인가요?,"a = 81
b = 4
y = a ** 0.5 * b
print(y)",36.0
2535,1,"예서가 자전거를 타고 5000미터를 가는 데 20분이 걸렸다면, 1분동안 간 거리는 얼마일까요?","a = 5000
b = 20
y = a / b
print(y)",250.0
1375,8,한 변의 길이가 7센티미터인 정삼각형이 있습니다. 이 정삼각형의 둘레는 몇 센티미터일까요?,"a = 7
b = 3
y = a * b
print(y)",21
1447,6,어떤 수에 0.05를 곱해야 할 것을 잘못하여 500을 곱했습니다. 잘못 계산한 값은 바르게 계산한 값의 몇 배 인가요?,"a = 0.05
b = 500
y = b / a
print(y)",10000.0
432,8,밑변의 길이가 3cm이고 넓이가 60cm²인  평행사변형의 높이는 몇 cm일까요?,"a = 3
b = 60
y = b / a
print(y)",20.0
2746,1,윤진이네 학교 6학년은 한 반에 40명씩 7개 반이 있습니다. 6학년 학생 한 명에게 마스크 5장씩을 주었습니다. 6학년 학생 전체에게 준 마스크는 모두 몇 장입니까?,"a = 40
b = 7
c = 5
y = a * b * c
print(y)",1400
471,6,어떤 수를 5로 나누어야 할 것을 잘못하여 어떤 수에 5를 곱했더니 115가 되었습니다. 바르게 계산했을 때의 몫과 나머지를 곱하시오.,"a = 5
b = 115
c = b / a
y = (c // a) * (c % a)
print(y)",12.0
2069,1,"학생 522명을 50명씩 한줄로 세우려고 합니다. 나머지 학생들은 일단 대기시킨다고 할 때, 학생은 몇 명까지 세울 수 있습니까?","a = 522
b = 50
y = a // b * b
print(y)",500
833,8,한 변의 길이가 10미터인 정구각형이 있습니다. 이 도형의 둘레는 몇 미터인지구해 보시오.,"a = 10
b = 9
y = a * b
print(y)",90
2666,5,"천의 자리 숫자가 9, 백의 자리 숫자가 1, 십의 자리 숫자가 3, 일의 자리 숫자가 2인 네자리 수가 있습니다. 이 수부터 5씩 커지도록 10번 뛰어 센 수를 구하세요.","a = (9 * 1000) + (1 * 100) + (3 * 10) + (2 * 1)
b = 5
c = 10
y = a + (b * c)
print(y)",9182
1170,1,레몬 48개를 한 상자에 6개씩 담아 팔려고 할 때 최대 몇 상자까지 팔 수 있을가요?,"a = 48
b = 6
y = a // b
print(y)",8
2070,1,"준표는 매일 400원씩, 우영이는 매일 800원씩 저금을 합니다. 우영이는 준표가 저금한 돈이 1600원인 날부터 저금을 했습니다. 두 사람이 저금한 돈이 같아지는 날은 우영이가 저금한 지 며칠째 되는 날인지 계산해보시오.","a = 400
b = 800
c = 1600
y = c / (b - a)
print(y)",4.0
1828,8,넓이가 80k제곱미터이고 세로가 20k미터인 직사각형이 있습니다. 이 직사각형의 세로는 몇 미터인가요?,"a = 80
b = 20
y = a / b * 1000
print(y)",4000.0
2079,5,식  A / 9 = 24/ 6이 있습니다. 이를 만족하는 A를 구하시오.,"a = 9
b = 24
c = 6
y = a * b / c
print(y)",36.0
2074,8,"한 변의 길이가 9센티미터인 정사각형의 둘레와 가로의 길이가 3센티미터인 직사각형의 둘레가 같다면, 직사각형의 세로의 길이는 몇 센티미터 입니까?","a = 9
b = 4
c = 3
d = a * b
y = (d - c * 2) / 2
print(y)",15.0
594,8,"둘레가 같은 정삼각형과 정팔각형이 있습니다. 정삼각형의 한 변의 길이가 16cm라고 한다면, 정팔각형의 한 변의 길이는 몇 cm인가요?","a = 3
b = 8
c = 16
y = c * a / b
print(y)",6.0
2359,1,스케치북이  96cm인 8개를 겹치지 않게 한 줄로 길게 이어 붙였습니다. 이어 붙인 스케치북의 전체 길이는 몇 cm일지 구하시오.,"a = 96
b = 8
y = a * b
print(y)",768
2133,8,"지희는 밑변이 5센티미터 이고 높이가 6센티미터 인 삼각형을 그렸고, 동권이는 밑변이 12센티미터 이고 높이가 5센티미터 인 삼각형을 그렸습니다. 동권이가 그린 삼각형의 넓이는 지희가 그린 삼각형의 넓이의 몇 배입니까?","a = 5
b = 6
c = 12
d = 5
e = a * b / 2
f = c * d / 2
y = f / e
print(y)",2.0
1580,8,"가로가 10미터, 세로가 350센티미터인 직사각형이 있습니다. 이 직사각형의 넓이는 몇 제곱미터인가요?","a = 10
b = 3.5
y = a * b
print(y)",35.0
999,4,"숫자 13, 55, 5, 32, 7 중에서, 가장 큰 수를 가장 작은 수로 나눈 몫을 구하시오. ","a = [13, 55, 5, 32, 7]
y = max(a) // min(a)
print(y)",11
1349,1,"미래 초콜릿 3.2kg 1개의 0.56만큼이 지방 성분이라면, 지방 성분이 몇 kg인가요?","a = 3.2
b = 0.56
y = a * b
print(y)",1.7920000000000003
201,8,한 변의 길이가 7.8m인 정사각형 모양의 땅이 있습니다. 이 땅의 가로는 2배로 세로는 3배로 늘렸다고 하면 새 땅의 넓이는 몇 m²인가요?,"a = 7.8
b = 3
c = 2
y = a * b * a * c
print(y)",365.03999999999996
2632,2,"학생들이 키가 큰 순서대로 줄을 서있다. 수환이의 키는 두 번째로 크고, 세형이의 키는 네섯 번째로 크다. 동진이의 키는 수환이보다 작고 세형이보다 크다면 동진이는 몇 번째에 서 있을까요?","a = 2
b = 4
y = (a + b) // 2
print(y)",3
930,1,콩쥐는 들이가 30리터 200밀리리터인 빈 독에 물을 가득 채워야만 잔치에 갈 수 있습니다. 하지만 독 아래에 구멍이 뚫려서 콩쥐가 독에 물을 80리터 900밀리리터 부었는데도 물은 채워지지 않고 계속 빈 독이었습니다. 이 상황을 지켜보던 두꺼비가 독 안으로 들어가서 구멍을 막아 주어 독에 물을 가득 채울 수 있었습니다. 콩쥐가 독에 부은 물은 모두 몇 밀리리터인가요?,"a = 30200
b = 80900
y = a + b
print(y)",111100
2466,1,"석두는 어제까지 과학 문제집을 31쪽 풀었습니다. 오늘부터 일주일 동안 하루에 7쪽씩 푼다면, 일주일 후에는 모두 몇 쪽을 풀게 되는지 구하세요.","a = 31
b = 7
y = a + (b * b)
print(y)",80
2251,1,재희는 문구점에서 8권에 3200원인 문제집 한 권과 달력 한 개를 사고 5600원을 냈습니다. 거스름돈으로 2000원을 받았다면 달력 한 개의 값은 얼마인지 구해보시오.,"a = 8
b = 3200
c = 5600
d = 2000
y = c - d - b / a
print(y)",3200.0
1,1,윤아는 부추전을 똑같이 8조각으로 나누어 한 조각을 먹었습니다. 윤미는 같은 크기의 부추전을 똑같이 16 조각으로 나누었습니다. 윤아와 같은 양을 먹으려면 윤미는 몇 조각을 먹어야 할까요?,"a = 8
b = 16
y = b / a
print(y)",2.0
2416,4,18과 26의 최소공배수를 구하여 보세요.,"import math

a = 18
b = 26
y = a * b // math.gcd(a, b)
print(y)",234
624,8,밑변의 길이가 10.2미터이고 높이가 밑변의 길이의 1.4배인 평행사변형 모양의 밭의 넓이는 몇 제곱미터입니까?,"a = 10.2
b = 1.4
c = a * b
y = a * c
print(y)",145.65599999999998
2748,8,반지름의 길이가 17cm인 원이 있습니다. 이 원의 넓이는 몇 cm²인가요?,"import math

a = 17
b = math.pi
y = (a ** 2) * b
print(y)",907.9202768874502
